,gameid,side,pick1,pick2,pick3,pick4,pick5,ban1,ban2,ban3,ban4,ban5,result
191,1546-1812,Red,Nautilus,Graves,Syndra,Ashe,Lulu,Ziggs,Varus,Camille,Gangplank,Orianna,0
192,1546-1813,Blue,Camille,Rengar,Ryze,Sivir,Nami,Ziggs,Graves,Varus,Shen,Fiora,0
193,1546-1813,Red,Gragas,Kha'Zix,Orianna,Ezreal,Karma,LeBlanc,Malzahar,Lulu,Jhin,Ashe,1
194,1547-1819,Blue,Poppy,Rengar,Vladimir,Jhin,Nami,Zyra,Caitlyn,Varus,Ziggs,Ashe,1
195,1547-1819,Red,Camille,Graves,Cassiopeia,Ezreal,Karma,Ryze,Shen,LeBlanc,Gragas,Renekton,0
196,1547-1820,Blue,Shen,Lee Sin,Akali,Ezreal,Lulu,Caitlyn,Zyra,Varus,Camille,Orianna,0
197,1547-1820,Red,Nautilus,Graves,Zilean,Jhin,Karma,LeBlanc,Rengar,Ryze,Nami,Vladimir,1
198,1547-1824,Blue,Poppy,Lee Sin,Vladimir,Varus,Nami,Zyra,Graves,Karma,Zilean,Orianna,0
199,1547-1824,Red,Nautilus,Kha'Zix,Kassadin,Jhin,Lulu,Ryze,LeBlanc,Rengar,Shen,Camille,1
200,1548-1825,Blue,Maokai,Graves,Syndra,Ezreal,Lulu,Katarina,Rengar,Jayce,Ekko,Taliyah,1
201,1548-1825,Red,Rumble,Kha'Zix,Zed,Jhin,Malzahar,LeBlanc,Varus,Camille,Nautilus,Gragas,0
